audit_result,id,title,source,category,date,score,threshold,reason,soft_hits,hv_hits,url
HARD_BLOCKED,3435,"‘Get out of my country’: Sikh man assaulted in Canada in suspected ‘hate’ crime,",indian express,International,2026-04-27,0.0,0.0,HARD_BLACKLIST: 'hate crime',,,https://indianexpress.com/article/world/canada-news/sikh-man-assaulted-canada-woodstock-ontario-hate-crime-10657740/
HARD_BLOCKED,3433,King Charles III heads to Washington on a delicate mission to restore the U.K.-U,the hindu,International,2026-04-27,0.0,0.0,HARD_BLACKLIST: 'king charles',,,https://www.thehindu.com/news/international/king-charles-iii-washington-visit-uk-us-ties-updates/article70910980.ece
HARD_BLOCKED,3432,Your name in Landsat: How to use NASA’s satellite name generator,the hindu,Science & Technology,2026-04-27,0.0,0.0,HARD_BLACKLIST: 'name generator',,,https://www.thehindu.com/sci-tech/science/your-name-in-landsat-how-to-use-nasa-satellite-name-generator-earth-day-2026-special-request/article70910939.ece
HARD_BLOCKED,3365,American budget airlines seek $2.5 billion assistance from U.S. government: repo,the hindu,Economy,2026-04-27,0.0,0.0,HARD_BLACKLIST: 'budget airline',,,https://www.thehindu.com/business/Industry/american-budget-airlines-seek-25-billion-assistance-from-us-government-reports/article70910993.ece
HARD_BLOCKED,3350,"U.S. State Department orders global warning about alleged AI thefts by DeepSeek,",the hindu,International,2026-04-27,0.0,0.0,HARD_BLACKLIST: 'theft',,,https://www.thehindu.com/sci-tech/technology/us-state-dept-orders-global-warning-about-alleged-ai-thefts-by-deepseek-other-chinese-firms/article70910661.ece
SOFT_BLOCKED,3238,विभिन्न क्षेत्रों में तापमान बढ़ने के मद्देनजर भारत मौसम विज्ञान विभाग (आईएमडी) ,pib,PIB — All Ministries,2026-04-25,1.5,2.0,score 1.5 < threshold 2.0,,,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2255501
SOFT_BLOCKED,3155,महाराष्ट्र के नांदेड़ जिले के इस्लामपुरा इलाके में एक नाले के निर्माण स्थल के पा,pib,PIB — All Ministries,2026-04-24,1.5,2.0,score 1.5 < threshold 2.0,,,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2255297
PASS,3441,रक्षा मंत्री किर्गिस्तान के बिश्केक में एससीओ रक्षा मंत्रियों की बैठक में भारतीय,pib,PIB — All Ministries,2026-04-27,3.5,2.0,PASS,,sco,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2255806
PASS,3439,Sharnbasva University student wins ₹14 lakh grant for AgriCarbon project in nati,the hindu,National,2026-04-27,4.0,1.5,PASS,,,https://www.thehindu.com/news/national/karnataka/sharnbasva-university-student-wins-14-lakh-grant-for-agricarbon-project-in-national-hackathon/article70909536.ece
PASS,3430,Israel-Iran LIVE: Iran proposes to reopen Strait of Hormuz without nuclear agree,the hindu,International,2026-04-27,7.5,1.5,PASS,,strait of hormuz | nuclear agreement,https://www.thehindu.com/news/international/iran-israel-war-live-ceasefire-talks-strait-of-hormuz-oil-crisis-updates-april-27-2026/article70910613.ece
PASS,3421,Paytm share price tumbles 8% after RBI cancels Payments Bank licence,business standard,Economy,2026-04-27,2.0,1.5,PASS,share price,rbi,https://news.google.com/rss/articles/CBMizwFBVV95cUxQTV9VYWw1eng5X3Ywdmd2bnVNRWdHbE5aNXktd19GeU84d0pqYXZ6R2ZILW9RbkwxYWowajRyem9oRHBZZDc1RWZxNTZxZFFRUWx5anp0VGJweWkwdjJPRVl4ZEtTVWRwdGdMYWUzd2VTTG9NM0xidFNiaWdlcm9rd2lUTUhQSTFmY2ZSTDhYWlhJZ0EwdHNLN2hKbGdoRWV6aDV1NnRiaHhxbTZuVzhOOE9fU1JIdHFNWUkwbGtfblF2SE5fOUZGZnFBRllsLTDSAdQBQVVfeXFMTXBVMVR3QldBQXdQeWJTNzNfNFNUX0RGdVZZaDJfRENxV0VxNDBGTjJwLUlDdnpkSC0zd3hJbmU1clBqZ0dIcjJtUHBCN0VyNmFiLW1KOUl0Uy1GZENRNi12WndRbFJuU0NsSW5qQWF3cng3Zl8ySmpHYnZXazB0WUs5aGFtM3lSdlJ2ei1SdXVWS2ppdVZPZHhpNEkxZk1kNEc3UkxTVEFMc1J3Q2pDMlFXM3FHc2lYSUJoWFo5M1M1clRhMDg3VE40TW0zLU5UdkU3ODc?oc=5
PASS,3406,"Trump’s rhetoric, Rajiv Gandhi’s restraint, and lessons on leadership",indian express opinion,Opinion,2026-04-27,3.5,2.0,PASS,,,https://indianexpress.com/article/opinion/columns/trumps-rhetoric-rajiv-gandhis-restraint-and-lessons-on-leadership-10657187/
